Token,Frequency,node_id
de,120042,0
la,95031,1
que,90312,2
el,80866,3
no,80808,4
a,80279,5
en,63005,6
es,55405,7
un,45023,8
se,36976,9
tom,36494,10
los,33415,11
me,32734,12
y,31746,13
una,30791,14
por,29071,15
lo,27347,16
las,23179,17
con,23049,18
su,19697,19
para,18933,20
mi,18826,21
él,18784,22
está,17627,23
qué,17561,24
más,16859,25
te,16790,26
al,15461,27
le,15174,28
del,14753,29
ella,13784,30
si,9842,31
este,9757,32
yo,9716,33
tiene,9618,34
como,9473,35
muy,9421,36
esta,9187,37
son,8836,38
tu,8494,39
mary,8396,40
hay,8277,41
pero,8198,42
ha,8081,43
todo,7941,44
eso,7398,45
estoy,7229,46
fue,7129,47
tengo,7010,48
cuando,6898,49
ya,6691,50
casa,6419,51
estaba,6299,52
hacer,6129,53
todos,6110,54
nos,6056,55
aquí,5904,56
sus,5852,57
puede,5828,58
quiero,5766,59
mucho,5557,60
tiempo,5500,61
tan,5475,62
nada,5461,63
ser,5421,64
bien,5397,65
era,5288,66
he,5260,67
vez,5208,68
puedo,5136,69
algo,4924,70
esto,4892,71
solo,4804,72
gusta,4658,73
dos,4639,74
siempre,4622,75
cómo,4530,76
o,4513,77
hace,4451,78
ahora,4438,79
nunca,4398,80
ese,4295,81
sin,4288,82
soy,4120,83
día,4118,84
están,3979,85
ir,3949,86
favor,3941,87
sé,3860,88
mañana,3843,89
hoy,3791,90
mejor,3744,91
ellos,3724,92
vida,3671,93
va,3636,94
quién,3612,95
dónde,3586,96
años,3576,97
creo,3568,98
esa,3520,99
trabajo,3469,100
había,3459,101
dijo,3452,102
tú,3448,103
voy,3422,104
tienes,3382,105
verdad,3354,106
estás,3313,107
has,3295,108
sobre,3292,109
nadie,3266,110
dinero,3256,111
antes,3242,112
poco,3192,113
mis,3131,114
hablar,3023,115
hasta,3019,116
así,3014,117
mundo,2995,118
libro,2966,119
porque,2956,120
puedes,2929,121
ver,2908,122
ni,2873,123
tres,2801,124
parece,2790,125
usted,2778,126
eres,2775,127
mí,2721,128
hombre,2690,129
uno,2686,130
quiere,2676,131
gente,2646,132
sabe,2584,133
noche,2566,134
maría,2547,135
mismo,2535,136
todavía,2534,137
estar,2502,138
tenía,2484,139
cada,2477,140
padre,2454,141
demasiado,2452,142
tarde,2429,143
han,2417,144
también,2313,145
quieres,2292,146
les,2291,147
hecho,2266,148
desde,2255,149
hizo,2247,150
decir,2228,151
después,2218,152
días,2213,153
alguien,2186,154
agua,2169,155
todas,2165,156
ayer,2161,157
cosas,2160,158
menos,2146,159
tienen,2136,160
nosotros,2136,161
madre,2114,162
entre,2109,163
comer,2087,164
francés,2063,165
nuevo,2060,166
muchos,2041,167
haber,2032,168
coche,2013,169
personas,1992,170
hora,1991,171
inglés,1978,172
tus,1978,173
otra,1956,174
tanto,1955,175
tenemos,1925,176
sí,1905,177
quería,1887,178
perro,1875,179
ti,1849,180
veces,1834,181
año,1814,182
ciudad,1797,183
niños,1796,184
toda,1779,185
durante,1770,186
gran,1769,187
vas,1757,188
sólo,1753,189
otro,1748,190
cuál,1736,191
nuestro,1727,192
tener,1713,193
os,1706,194
estado,1690,195
semana,1688,196
pasado,1686,197
mujer,1680,198
país,1675,199
problema,1670,200
buen,1665,201
cuándo,1659,202
amigos,1652,203
muchas,1649,204
mal,1639,205
nuestra,1635,206
estamos,1630,207
aún,1625,208
buena,1611,209
debería,1607,210
dice,1604,211
amigo,1597,212
escuela,1588,213
tomás,1579,214
gustaría,1573,215
sea,1565,216
persona,1559,217
alguna,1556,218
casi,1548,219
sabes,1541,220
lugar,1539,221
niño,1539,222
fuera,1532,223
podría,1519,224
hacerlo,1506,225
allí,1501,226
nombre,1491,227
puerta,1483,228
visto,1470,229
momento,1464,230
donde,1452,231
habla,1450,232
vamos,1449,233
difícil,1449,234
cuenta,1440,235
bueno,1439,236
habitación,1434,237
necesito,1432,238
pronto,1431,239
cuánto,1416,240
dio,1413,241
hermano,1411,242
saber,1406,243
parte,1379,244
estos,1378,245
boston,1366,246
dios,1363,247
ustedes,1361,248
seguro,1347,249
comida,1337,250
pueden,1333,251
ahí,1323,252
sido,1306,253
sabía,1295,254
feliz,1293,255
grande,1285,256
vino,1282,257
deberías,1276,258
mientras,1273,259
café,1266,260
da,1265,261
libros,1252,262
comprar,1245,263
debe,1231,264
palabras,1229,265
quien,1224,266
hijo,1221,267
amor,1214,268
será,1206,269
idea,1204,270
unos,1198,271
estas,1193,272
leer,1192,273
dicho,1191,274
cinco,1188,275
miedo,1188,276
aprender,1184,277
padres,1173,278
conmigo,1172,279
gato,1165,280
clase,1164,281
nueva,1161,282
cosa,1161,283
realmente,1160,284
ojos,1153,285
diez,1152,286
gustan,1144,287
horas,1144,288
mano,1144,289
salir,1141,290
historia,1141,291
algunos,1139,292
ayuda,1131,293
contra,1129,294
vive,1129,295
hermana,1125,296
gracias,1120,297
entonces,1118,298
vi,1116,299
fácil,1114,300
siento,1113,301
fiesta,1110,302
haciendo,1108,303
familia,1107,304
rápido,1105,305
podemos,1102,306
mayor,1092,307
vivir,1088,308
viene,1087,309
tren,1087,310
contigo,1086,311
música,1079,312
primera,1075,313
problemas,1067,314
llegar,1066,315
importante,1062,316
forma,1062,317
carta,1051,318
fueron,1051,319
tal,1050,320
profesor,1044,321
tipo,1043,322
van,1041,323
mucha,1041,324
camino,1037,325
ningún,1037,326
hemos,1023,327
tierra,1023,328
joven,1019,329
estaban,1016,330
palabra,1012,331
trabajar,1002,332
pasó,997,333
bastante,995,334
espero,994,335
lengua,993,336
hijos,991,337
sino,990,338
poder,989,339
cabeza,988,340
tomar,987,341
cama,984,342
razón,981,343
sol,977,344
falta,976,345
menudo,969,346
cerca,969,347
fin,964,348
ellas,959,349
somos,958,350
fui,951,351
dar,949,352
dormir,945,353
cualquier,944,354
acuerdo,940,355
idioma,935,356
lado,931,357
japón,931,358
otros,931,359
algún,930,360
corazón,929,361
podía,928,362
crees,927,363
deja,924,364
venir,922,365
hacia,921,366
pasar,919,367
teléfono,915,368
algunas,912,369
policía,909,370
cuatro,904,371
ve,901,372
lleva,901,373
mesa,900,374
queda,892,375
jugar,883,376
frío,883,377
necesita,882,378
encontrar,880,379
hombres,879,380
pueblo,877,381
cuanto,876,382
ninguna,875,383
escribir,874,384
muerte,872,385
guerra,871,386
puso,867,387
película,867,388
accidente,865,389
tuvo,861,390
punto,860,391
veo,859,392
pensé,858,393
río,856,394
debes,855,395
número,851,396
aquel,851,397
volver,845,398
estudiar,837,399
john,834,400
misma,833,401
manera,833,402
e,833,403
luz,832,404
dejar,832,405
bajo,831,406
ido,831,407
pregunta,828,408
temprano,826,409
dejó,822,410
sería,817,411
auto,817,412
fuerte,813,413
cara,810,414
posible,806,415
único,805,416
dije,803,417
final,801,418
aunque,796,419
llegó,795,420
manos,795,421
sueño,793,422
calle,793,423
murió,792,424
leche,785,425
mes,784,426
pelo,784,427
realidad,781,428
llama,780,429
minutos,779,430
pasa,778,431
alto,772,432
verano,768,433
eran,766,434
juego,754,435
pan,748,436
cuántos,744,437
importa,744,438
estación,742,439
pequeño,741,440
mujeres,741,441
quedó,738,442
última,737,443
conozco,733,444
cierto,733,445
cuidado,732,446
unas,732,447
primer,731,448
vivo,731,449
haya,729,450
edad,727,451
hice,724,452
hubiera,716,453
examen,716,454
medio,715,455
estados,714,456
médico,713,457
ropa,710,458
chica,710,459
nuestros,706,460
anoche,705,461
hija,702,462
ayudar,702,463
vio,701,464
habéis,701,465
quieren,701,466
caso,699,467
esposa,699,468
suficiente,698,469
juntos,696,470
hablando,692,471
esperar,688,472
viejo,688,473
televisión,687,474
estuvo,687,475
ventana,684,476
error,683,477
unidos,677,478
pensar,675,479
pienso,672,480
situación,672,481
español,670,482
pudo,669,483
usar,667,484
nadar,662,485
seis,659,486
mar,659,487
acerca,656,488
españa,655,489
media,654,490
frase,654,491
sola,652,492
largo,652,493
encanta,650,494
cuarto,650,495
tatoeba,647,496
primero,645,497
calor,645,498
tienda,644,499
